code,name_vi,name_en,country,province,zip_code
499,Huyện Đạ Huoai,Da Huoai,1,44,
500,Huyện Đạ Tẻh,Da Teh,1,44,
501,Huyện Cát Tiên,Cat Tien,1,44,
502,Thị xã Phước Long,Phuoc Long Town,1,45,
503,Thành phố Đồng Xoài,Dong Xoai City,1,45,
504,Thị xã Bình Long,Binh Long Town,1,45,
505,Huyện Bù Gia Mập,Bu Gia Map,1,45,
506,Huyện Lộc Ninh,Loc Ninh,1,45,
507,Huyện Bù Đốp,Bu Dop,1,45,
508,Huyện Hớn Quản,Hon Quan,1,45,
509,Huyện Đồng Phú,Dong Phu,1,45,
510,Huyện Bù Đăng,Bu Dang,1,45,
511,Thị xã Chơn Thành,Chon Thanh Town,1,45,
512,Huyện Phú Riềng,Phu Rieng,1,45,
513,Thành phố Tây Ninh,Tay Ninh City,1,46,
514,Huyện Tân Biên,Tan Bien,1,46,
515,Huyện Tân Châu,Tan Chau,1,46,
516,Huyện Dương Minh Châu,Duong Minh Chau,1,46,
517,Huyện Châu Thành,Chau Thanh,1,46,
518,Thị xã Hòa Thành,Hoa Thanh Town,1,46,
